mot_wolof
-
Am na.
Amul.
B
Ba beneen
Ba ci kanam.
Ba suba.
Baal ma.
Bu soobee Yàlla.
Bàyyi ma.
Dafa seer/jafe.
Dama bëgg lekk ceebu jën.
Dama bëgg naan ndox.
Dama mar.
Dama sonn.
Dama xiif.
Déedéet
Finale
Jàmm ag jàmm.
Jàmm nga fanaan ?
"Jàmm rekk, Alxamdulilaay."
"Jàmm rekk, alxamdulilaay."
Jërëjëf.
Lii lan la ?
Looy def ?
Maa ngi fi
Mu ngi ci jàmm.
Na nga def ?
Naka sa waa kër ?
Naka suba ci ?
Ndax mburu am na ?
Nob naa la.ouDama la nob.ouDama la bëgg.
Sama xarit
Suba
Suba saa ngi nii
"Suur naa, jërëjëf."
Waaw
Wàññi ko.
Yaa ngi ci jàmm ?
asamaan
b
bés
e
guddi
gόor
i
jigéen
lekk
m
mag
mburu
m̩b
naan
ndox
p
safara
say-say
suuf
tuuti
wanag
À
Ñaata la ?
Ñoo ko bokk.

